id;id_cau_hinh;noi_dung;javascript;css;id_loai_ts;id_don_vi;trang_thai;xml
1;10198;to;supposing pet regarding;complex;24782;31359;6407;hyperventilate gosh ah
2;2713;unleash that guest;like cycle reflecting;culture difference;4679;28728;6658;somber wish
3;16891;greedily ew;bravely tango;probable yuck apud;13561;11019;4921;gadzooks civilisation astride
4;8156;input;against;steep expert;11785;9361;1288;content stitcher zowie
5;8985;till astride outside;with;yet whoa;22215;2330;9024;uh-huh forenenst issue
6;12546;a bah;ew;phew once;22915;17954;13963;foment ultimately
7;4447;downright quaintly;equip gadzooks psst;growing doff;27878;23802;10735;unacceptable for
8;28143;into;silence wholly;constellation gripper;25723;7860;7950;enrapture following outside
9;5767;yet;so but smoothly;silently;28928;31487;6176;messenger
10;3964;cradle;self-esteem whether;regarding extreme aside;7817;180;16101;trace
