id;id_tai_san;ten_tai_san;trang_thai;ghi_chu;ngay_thao_tac;nguoi_thao_tac;id_duong_su;id_ts_goc;ma_tai_san;id_tinh_trang;id_loai_ngan_chan;ngay_bd_ngan_chan;ngay_kt_ngan_chan;id_master;str_search;id_don_vi;so_hs_cv;so_cc;so_vao_so;mo_ta;loai_ngan_chan;ma_xa
1;29109;kick yieldingly;10766;for bandana pleased;2024-07-25;1735;32453;26896;cluttered recapture;22321;6523;2024-07-25;2024-07-25;32284;grubby effort;2975;31923;6616;29001;reinterpret beneath;21683;generally
2;29155;embroider;14472;webpage high-rise yet;2024-07-26;13221;2232;577;since tergiversate smart;1247;13142;2024-07-25;2024-07-25;20527;buoy able slippers;10241;30660;9765;29841;care;22394;only chubby faithful
3;4527;takeover;25466;boo;2024-07-25;20878;15457;31564;revoke;3693;6513;2024-07-25;2024-07-26;3193;reservation;9068;14001;21662;18323;loftily verifiable before;22646;excellent
4;8072;furthermore modern;10776;including to;2024-07-25;11725;11407;21336;generously;7193;20488;2024-07-26;2024-07-25;30797;pro verb couch;26367;1179;32486;32569;unto hungrily;29498;a thesis dreamily
5;8207;versus;14007;fatally cast;2024-07-25;2066;4601;14813;fondly irritably when;20579;26990;2024-07-25;2024-07-25;1200;worried iridescence;30214;24715;27164;10361;deregulate what onto;14752;impugn definitive glorious
6;18700;who whoa helpfully;16941;nondisclosure outlaw;2024-07-25;28252;13133;7133;unimpressively;11958;5711;2024-07-26;2024-07-25;557;um;2723;6974;6723;26725;even locker unwieldy;1971;zowie contractor
7;19291;along;27438;thread;2024-07-25;10743;1912;11759;blah accrue unethically;31628;14165;2024-07-25;2024-07-25;32367;because who several;26599;21564;32592;31426;drat;29348;excited station
8;31341;odd evenly;1248;pailful quicker;2024-07-25;30297;14623;21872;psst unabashedly;864;968;2024-07-25;2024-07-25;31744;lost huzzah yowza;3951;18871;7128;31126;needily once round;18299;than theme
9;12368;prevaricate better;5438;yippee;2024-07-25;14352;5198;10226;chargesheet;6179;32696;2024-07-25;2024-07-25;20578;boohoo;1697;7017;26438;23226;phooey;16044;scene regarding
10;18631;for;11716;needle;2024-07-25;27409;18604;30315;on;30624;14254;2024-07-25;2024-07-25;23261;impossible supposing;16974;10594;9342;25384;fear uh-huh ah;3966;gah even carelessly
