id;id_tai_san;ten_tai_san;trang_thai;thong_tin_ts;ghi_chu;ngay_thao_tac;nguoi_thao_tac;id_duong_su;id_ts_goc;ma_tai_san;id_loai_ngan_chan;ngay_bd_ngan_chan;ngay_kt_ngan_chan;id_master;str_search;id_don_vi;so_hs_cv;so_cc;so_vao_so;mo_ta;loai_ngan_chan;sync_status
1;26397;er;25735;bland ouch;misguided once;2024-07-25;26216;8177;2194;instead;28663;2024-07-25;2024-07-25;32277;vibrant;26764;3655;2431;28120;commonly;29420;22565
2;17461;phew whenever and;6083;unless nightmare;transmission quirkily bumpy;2024-07-25;4933;12273;13893;terribly lark worst;13931;2024-07-25;2024-07-25;5360;whoa;18444;20530;19441;4636;crossly;6348;13943
3;13037;anthropology now;21014;lurch to;successfully phooey;2024-07-25;8634;9648;15140;relieved joyfully;16059;2024-07-25;2024-07-25;11210;failing throughout map;25360;16605;28415;8055;toothpaste;32040;19173
4;1396;so during;4856;optimistically sans fluffy;among integration;2024-07-25;28424;3946;22010;surprisingly;32326;2024-07-25;2024-07-25;32194;over insistent consequently;8475;32441;16982;25438;extra-small;26236;17308
5;23682;brr brr felony;18251;speedily plus;hungrily;2024-07-25;3215;7630;1429;hourly;6780;2024-07-25;2024-07-25;4801;gutter veto;6169;14803;3192;29575;freely;21024;6475
6;17118;neuropathologist amid;10600;eventually mid;circa ugh;2024-07-25;16505;7826;21651;which;31630;2024-07-25;2024-07-25;14748;fooey;31601;16302;13074;30112;amidst;8283;29861
7;1400;hail hence;29888;anguished;from whoever;2024-07-25;5802;22378;20444;rumour;27463;2024-07-25;2024-07-25;29463;divide ouch;3748;29546;2528;525;coaxingly snowman;22578;31329
8;10706;down;16329;huzzah;canst owlishly urban;2024-07-26;30628;31172;17144;typeset cytokine;25421;2024-07-25;2024-07-25;28320;deficient;2463;27608;21375;2506;bewitched whoever er;8892;16911
9;25453;bouquet biodegradable which;12630;to appearance how;meanwhile bowling;2024-07-25;11848;32454;9248;indeed equally;3604;2024-07-26;2024-07-25;18938;geez;15341;1417;1751;32575;fast sparkling;15763;7176
10;19998;despite through because;21752;veg hunker;dearly on finally;2024-07-25;28626;2841;14237;because;32626;2024-07-26;2024-07-26;20379;unpick rankle;26693;4896;32464;7915;what following;15427;7778
