id;id_tai_san;ten_tai_san;trang_thai;thong_tin_ts;id_loai_ts;ghi_chu;ngay_thao_tac;nguoi_thao_tac;id_duong_su;id_ts_goc;ma_tai_san;id_tinh_trang;id_loai_ngan_chan;ngay_bd_ngan_chan;ngay_kt_ngan_chan;id_master;str_search;id_don_vi;so_hs_cv;so_cc;so_vao_so;mo_ta;loai_ngan_chan
1;1629;medicine misconstrue;28742;elongate idealise simplify;10650;how;2024-07-25;26741;12052;5962;winter jumper;322;30416;2024-07-25;2024-07-25;5683;brr;28007;27024;4299;13034;exactly er;9738
2;26876;wiggle bland;9893;skulk fooey zowie;23257;vengeful;2024-07-25;24946;3847;411;immense snarling;31744;10770;2024-07-25;2024-07-25;8109;boo;5282;25101;32046;11021;mundane meanwhile from;10054
3;22105;although temptress;26286;near;2584;phooey;2024-07-25;14527;6826;20709;via gee suspiciously;13124;6097;2024-07-25;2024-07-25;5204;while;8199;7162;23819;31539;puny than;18686
4;27126;whoa superb;10472;slowly designation;30564;monthly;2024-07-25;31333;8916;28487;fling whopping;27151;12584;2024-07-25;2024-07-25;11754;reassuringly;20432;15188;15422;8984;evenly;14146
5;31251;phew;16413;soggy rid;6082;bleed black;2024-07-25;13200;4600;9572;near;14044;14122;2024-07-25;2024-07-25;21245;raise pfft;11795;26275;18546;6740;solidly;27954
6;2101;why arrogantly;21897;cram developing;4743;gladly between inasmuch;2024-07-25;32498;21099;25631;speedily;1997;18072;2024-07-26;2024-07-25;2922;content;18985;22360;13198;2593;mandate;13077
7;27716;ew till distinct;14625;bear anti;13410;suspiciously;2024-07-26;12049;5519;5901;remand successfully;12983;28139;2024-07-25;2024-07-25;23331;ew peninsula;18366;24924;20566;16517;architecture;13210
8;24843;unethically;27930;zephyr arid as;2248;open quizzical;2024-07-25;4338;17480;4673;aw merchant;2003;7100;2024-07-25;2024-07-25;17846;morphology;8975;8651;9436;9102;likely lest ultimately;11559
9;20790;maintain;11239;bargain dry ha;4516;now;2024-07-25;18120;24334;9195;normal coat prune;29032;4324;2024-07-25;2024-07-25;3839;retreat;18519;29882;4163;11566;noodles regarding;24459
10;30568;beneath;20876;excluding extremely superior;6571;however over hike;2024-07-25;30894;20674;1119;sweatshirt;24098;30845;2024-07-26;2024-07-25;12325;indeed though;17709;16203;19173;1496;rigidly;24346
