id;id_tai_san;ten_tai_san;trang_thai;thong_tin_ts;id_loai_ts;ghi_chu;ngay_thao_tac;nguoi_thao_tac;id_duong_su;id_ts_goc;ma_tai_san;id_tinh_trang;id_loai_ngan_chan;ngay_bd_ngan_chan;ngay_kt_ngan_chan;id_master;str_search;id_don_vi;so_hs_cv;so_cc;so_vao_so;mo_ta
1;19172;speech rasterise rightfully;13266;uh-huh;31852;ew obnoxiously over;2024-07-29;6651;7800;6580;gracious hateful jubilantly;24992;16549;2024-07-29;2024-07-29;17650;since uh-huh wonderfully;30442;3885;23595;17676;unnaturally why
2;15272;towards bah;22467;bright ah spin;140;optimistic very until;2024-07-28;3255;12172;7144;fondly oddly;11248;2043;2024-07-28;2024-07-29;222;along plowman;11306;17352;31204;1386;alongside
3;9589;open;4237;dimly fast whether;10302;maltreat sans;2024-07-29;13318;20109;6616;ew amidst;32016;9110;2024-07-29;2024-07-29;16070;after counter coaster;29524;28072;31073;31896;until planter
4;3910;yippee knavishly twang;2719;agonizing er;16706;flip drat happily;2024-07-28;32084;24950;14325;discretion;13072;6198;2024-07-28;2024-07-29;10508;dreamily equip mechanically;12184;8334;18798;25104;present
5;13292;dense outfit colorfully;15988;beside qua deal;18569;left mid;2024-07-28;7524;16633;22401;wherever;29914;28563;2024-07-28;2024-07-29;13234;gossip phew;31108;4520;959;10994;care wildly
6;6600;yuck;26260;woot;4343;initialise;2024-07-28;17481;6063;26738;bop loudly;587;21533;2024-07-29;2024-07-29;17362;coolly telescreen yippee;27786;22644;6691;31944;briefly gee
7;10981;modern while;8629;download freely big;17637;system dearly;2024-07-28;14649;11379;22324;though huzzah;22335;24738;2024-07-29;2024-07-28;2328;whoever far;23401;24897;25869;15628;about bitterly
8;21318;yuck owe except;5266;with;30792;baker;2024-07-29;1274;30630;1740;bitterly;201;20837;2024-07-29;2024-07-28;9480;seldom including furthermore;30367;11260;9407;2773;though round
9;8610;flinch recent adored;21916;meek invalid fairly;21067;tamper;2024-07-28;29836;4999;98;effectuate;20759;27305;2024-07-29;2024-07-28;15609;overdue gym advocate;15554;29780;20927;5405;aha
10;25530;indeed renew underneath;17474;lonely roar nibble;19641;incidentally jump doting;2024-07-28;5516;9252;2180;lest;8026;23726;2024-07-28;2024-07-29;28416;second sift;17846;21839;22934;24167;outside pirate for
